time_utc,direction,entry,sl,tp,rr,confidence
,BUY,,,,1.5,
,BUY,,,,1.5,
,SELL,,,,1.5000000000001643,
,SELL,,,,1.5,
,SELL,,,,1.5000000000001332,
,SELL,,,,1.5,
,SELL,,,,1.5000000000001124,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,BUY,,,,1.50000000000011,
,SELL,,,,1.5000000000001166,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.500000000000139,
,BUY,,,,1.5000000000001468,
,BUY,,,,1.5,
,BUY,,,,1.5000000000003129,
,BUY,,,,1.5,
,BUY,,,,1.5,
,SELL,,,,1.5000000000001432,
,SELL,,,,1.5,
,SELL,,,,1.500000000000139,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,BUY,,,,1.5000000000001918,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5000000000000953,
,BUY,,,,1.5,
,SELL,,,,1.5000000000001723,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5000000000000946,
,SELL,,,,1.5,
,SELL,,,,1.500000000000101,
,SELL,,,,1.5,
,SELL,,,,1.500000000000105,
,SELL,,,,1.5,
,SELL,,,,1.5000000000002216,
,SELL,,,,1.5000000000001084,
,SELL,,,,1.500000000000105,
,SELL,,,,1.5000000000001912,
,SELL,,,,1.5000000000002043,
,SELL,,,,1.5000000000000995,
,SELL,,,,1.5000000000000886,
,SELL,,,,1.5000000000000837,
,SELL,,,,1.5000000000001807,
,SELL,,,,1.5000000000000842,
,SELL,,,,1.5,
,SELL,,,,1.5000000000001663,
,SELL,,,,1.5000000000001699,
,SELL,,,,1.5,
,SELL,,,,1.5,
,BUY,,,,1.5000000000000637,
,BUY,,,,1.5000000000000655,
,BUY,,,,1.5,
,BUY,,,,1.5000000000001357,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5000000000000757,
,BUY,,,,1.5000000000000753,
,BUY,,,,1.5,
,BUY,,,,1.5,
,SELL,,,,1.500000000000099,
,SELL,,,,1.5,
,BUY,,,,1.500000000000101,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.5,
,BUY,,,,1.500000000000111,
,BUY,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.5,
,BUY,,,,1.5000000000001472,
,BUY,,,,1.5000000000001465,
,BUY,,,,1.5,
,BUY,,,,1.500000000000287,
,BUY,,,,1.5000000000001537,
,SELL,,,,1.5000000000001605,
,SELL,,,,1.5,
,SELL,,,,1.500000000000161,
,SELL,,,,1.5,
,SELL,,,,1.5,
,SELL,,,,1.500000000000315,
,SELL,,,,1.5,
,SELL,,,,1.5000000000001628,
,SELL,,,,1.5000000000001639,
,SELL,,,,1.500000000000328,
,BUY,,,,1.5000000000001419,
,BUY,,,,1.5,
,BUY,,,,1.5000000000001381,
,BUY,,,,1.5,
,BUY,,,,1.5000000000001357,
,BUY,,,,1.5,
